Date,AUD,CAD,FRF,DEM,ITL,JPY,NZD,NOK,SEK,CHF,USD,GBP,EUR
1960-01-31,,15.4627,9.7357585,23.4274431,3.8528708,18.1,,8.2647616,27.7627,24.111713,29.3,12.3376303,
1960-02-29,,15.4627,9.7650154,23.3280445,3.8461876,18.1,,8.2647616,27.782,24.2316055,29.4,12.3376303,
1960-03-31,7.4630031,15.3786,9.7650154,23.3280445,3.8395043,18.1,45.0281047,8.2906471,27.768,24.2316055,29.4,12.3151779,
1960-04-30,7.5889494,15.4627,9.7795657,23.4274431,3.8361627,18.1,45.0281047,8.2906471,27.7505,24.2715697,29.5,12.3825353,
1960-05-31,7.5889494,15.4627,9.7503869,23.5766708,3.8428459,18.3,45.0281047,8.2647616,27.8205,24.3781407,29.5,12.3825353,
1960-06-30,7.5889494,15.4627,9.7503869,23.5269282,3.8428459,18.2,45.0281047,8.2906471,27.9151,24.4047836,29.6,12.4498927,
1960-07-31,7.6204499,15.4627,9.7795657,23.5766708,3.859554,18.2,45.3942346,8.2906471,27.8976,24.4713905,29.6,12.4723451,
1960-08-31,7.6204499,15.4627,9.8671801,23.4772721,3.8662372,18.3,45.3942346,8.2647616,27.8555,24.524676,29.6,12.3937615,
1960-09-30,7.6204499,15.5467,9.8817304,23.4274431,3.8628955,18.5,45.3942346,8.2647616,27.8766,24.591283,29.6,12.4049877,
1960-10-31,7.675548,15.7148,9.910909,23.4772721,3.8628955,18.6,45.7602829,8.2906471,27.8748,24.6312472,29.8,12.5060238,
1960-11-30,7.675548,15.7148,9.940166,23.6264998,3.8796036,18.3,45.7602829,8.2647616,27.9869,24.6312472,29.8,12.562155,
1960-12-31,7.675548,15.7148,9.9547163,23.6264998,3.8862868,18.5,45.7602829,8.3165326,28.0604,24.6046043,29.8,12.5958337,
1961-01-31,7.6992012,15.7148,9.9693448,23.7756409,3.9029949,18.7,45.7602829,8.3165326,28.155,24.5379974,29.8,12.6070599,
1961-02-28,7.6992012,15.7148,9.9693448,23.7756409,3.9029949,18.8,45.7602829,8.3165326,28.2338,24.5513188,29.8,12.6070599,
1961-03-31,7.6992012,15.7148,9.9693448,23.8253835,3.9063364,18.8,45.7602829,8.3424896,28.3441,24.5513188,29.8,12.6519649,
1961-04-30,7.7542992,15.7148,9.9547163,23.8253835,3.9130196,18.9,45.7602829,8.3942605,28.3722,24.5513188,29.8,12.7193223,
1961-05-31,7.7542992,15.7148,9.940166,23.9746111,3.9230445,18.9,45.7602829,8.4202175,28.4492,24.7378182,29.8,12.753001,
1961-06-30,7.7542992,15.7148,9.910909,24.1238388,3.9230445,18.9,45.7602829,8.446103,28.528,24.7777824,29.8,12.8652633,
1961-07-31,7.7621465,15.7148,9.9839732,24.1735813,3.9330692,19.2,46.4924611,8.4719885,28.472,24.8310679,30,12.8652633,
1961-08-31,7.7621465,15.7148,10.0423307,24.0740962,3.9397524,19.3,46.4924611,8.523831,28.5088,24.9509605,29.9,12.9887519,
1961-09-30,7.7621465,15.7148,10.1006881,24.0740962,3.9464356,19.4,46.4924611,8.5756734,28.5263,24.9909246,30,12.9662994,
1961-10-31,7.8014943,15.7148,10.2174812,24.0740962,3.9564605,19.9,46.8585095,8.6533299,28.5963,25.0974957,30,12.9887519,
1961-11-30,7.8014943,15.7148,10.3196459,24.2730664,3.9831933,20,46.8585095,8.6533299,28.6804,25.4438519,30,13.1234667,
1961-12-31,7.8014943,15.7148,10.3488246,24.2730664,3.9965597,20.1,46.8585095,8.6792868,28.6996,25.4704946,30,13.1459191,
1962-01-31,7.793647,15.7148,10.4072603,24.5217792,4.0132678,20.2,46.8585095,8.7051723,29.3073,25.4971374,30,13.1908228,
1962-02-28,7.793647,15.7148,10.4218105,24.5715218,4.0366591,20.1,46.8585095,8.7570148,29.3283,25.5637443,30.1,13.2040137,
1962-03-31,7.793647,15.7148,10.4802462,24.6709203,4.0600502,20.2,46.8585095,8.8087858,29.4019,25.6037085,30.1,13.256777,
1962-04-30,7.8172446,15.7988,10.509425,24.7207494,4.0934663,20.5,47.233448,8.8606282,29.6313,25.7236009,30.2,13.4414485,
1962-05-31,7.8172446,15.7988,10.5386036,24.7207494,4.0934663,20.6,47.233448,8.8606282,29.8642,25.9234218,30.2,13.4810209,
1962-06-30,7.8172446,15.8828,10.5823326,24.7704054,4.1068328,20.5,47.233448,8.8865137,30.0026,25.9900287,30.2,13.5733567,
1962-07-31,7.8329948,15.8828,10.6261398,24.820148,4.1335656,20.7,47.233448,9.0160841,30.0394,26.0699571,30.3,13.5205934,
1962-08-31,7.8329948,15.9669,10.6115895,24.6211778,4.1369072,20.7,47.233448,9.0419696,30.1094,26.1765282,30.3,13.401876,
1962-09-30,7.8329948,15.8828,10.6553968,24.6211778,4.1502736,20.6,47.233448,9.0679266,30.0289,26.1632068,30.4,13.3886852,
1962-10-31,7.8408978,15.9669,10.669947,24.7207494,4.1669816,20.7,47.608305,9.0419696,29.9448,26.1232426,30.4,13.3754944,
1962-11-30,7.8408978,15.9669,10.7721116,24.820148,4.1937145,20.7,47.608305,9.0419696,30.0376,26.2431351,30.4,13.4282576,
1962-12-31,7.8408978,15.9669,10.7867401,24.9693756,4.257205,21.2,47.608305,9.0679266,30.1497,26.2964207,30.4,13.4942118,
1963-01-31,7.8487451,15.9669,10.859726,25.2181748,4.3039874,21.7,47.608305,9.1196975,30.2285,26.376349,30.4,13.5469751,
1963-02-28,7.8487451,15.9669,10.9327119,25.4668011,4.3641364,21.8,47.608305,9.17154,30.3441,26.5362056,30.4,13.6656925,
1963-03-31,7.8487451,15.9669,10.9618907,25.4668011,4.3775028,21.9,47.608305,9.2233825,30.4579,26.5362056,30.5,13.6788833,
