,AUD,CAD,FRF,DEM,ITL,JPY,NZD,NOK,SEK,CHF,USD,GBP,EUR
1959-12-31,7.80437,13.308529,10.188042,24.714454,4.060933,18.509878,4.952113,9.012759,9.190918,23.728754,13.436946,7.339636,
1960-01-31,7.80437,13.308529,10.188042,24.574031,4.050275,18.509878,4.952113,9.012759,9.190918,23.846745,13.482806,7.339636,
1960-02-29,7.80437,13.222667,10.188042,24.574031,4.039616,18.509878,4.952113,9.012759,9.190918,23.846745,13.482806,7.339636,
1960-03-31,7.908429,13.308529,10.22678,24.714454,4.039616,18.607814,4.960831,9.012759,9.190918,23.886108,13.528666,7.339636,
1960-04-30,7.908429,13.308529,10.188042,24.784665,4.060933,18.70575,4.960831,9.012759,9.190918,23.991011,13.528666,7.339636,
1960-05-31,7.908429,13.308529,10.188042,24.784665,4.071592,18.70575,4.960831,9.012759,9.223979,24.017286,13.574526,7.427012,
1960-06-30,8.012487,13.308529,10.22678,24.784665,4.082251,18.70575,5.004089,9.012759,9.223979,24.082728,13.574526,7.427012,
1960-07-31,8.012487,13.308529,10.342994,24.784665,4.082251,18.70575,5.004089,9.012759,9.223979,24.135081,13.574526,7.339636,
1960-08-31,8.012487,13.308529,10.342994,24.714454,4.071592,18.901622,5.004089,9.012759,9.223979,24.200817,13.574526,7.339636,
1960-09-30,8.116545,13.480252,10.342994,24.784665,4.071592,18.999558,5.05165,9.012759,9.223979,24.239984,13.666246,7.427012,
1960-10-31,8.116545,13.480252,10.381731,24.854877,4.092909,18.70575,5.05165,9.012759,9.25704,24.239984,13.666246,7.514389,
1960-11-30,8.116545,13.480252,10.420469,24.854877,4.103568,18.901622,5.05165,9.012759,9.290101,24.213807,13.666246,7.514389,
1960-12-31,8.116545,13.480252,10.420469,25.065511,4.135544,19.195429,5.030021,9.012759,9.323162,24.148268,13.666246,7.514389,
1961-01-31,8.116545,13.480252,10.420469,25.065511,4.146202,19.293365,5.030021,9.012759,9.323162,24.161454,13.666246,7.514389,
1961-02-28,8.116545,13.480252,10.420469,25.065511,4.146202,19.293365,5.030021,9.121346,9.356222,24.161454,13.666246,7.514389,
1961-03-31,8.220604,13.480252,10.420469,25.065511,4.167519,19.391301,5.030021,9.121346,9.389283,24.161454,13.666246,7.514389,
1961-04-30,8.220604,13.480252,10.381731,25.276146,4.188837,19.391301,5.030021,9.121346,9.422344,24.344887,13.666246,7.601766,
1961-05-31,8.220604,13.480252,10.381731,25.416569,4.188837,19.391301,5.030021,9.121346,9.422344,24.384349,13.666246,7.601766,
1961-06-30,8.116545,13.480252,10.459207,25.416569,4.188837,19.685109,5.107818,9.121346,9.422344,24.4368,13.757965,7.601766,
1961-07-31,8.116545,13.480252,10.497945,25.416569,4.188837,19.783045,5.107818,9.229934,9.422344,24.554693,13.712105,7.689142,
1961-08-31,8.116545,13.480252,10.57542,25.416569,4.210154,19.88098,5.107818,9.338521,9.422344,24.593958,13.757965,7.689142,
1961-09-30,8.116545,13.480252,10.691634,25.416569,4.210154,20.37066,5.159794,9.447109,9.455405,24.698861,13.757965,7.689142,
1961-10-31,8.116545,13.480252,10.807847,25.556992,4.24213,20.468596,5.159794,9.447109,9.488466,25.039747,13.757965,7.776519,
