Date,AUD,CAD,FRF,DEM,ITL,NZD,SEK,GBP,JPY,USD,NOK
1970-01-02,,,,,,,,,,7.92,
1970-01-05,,,,,,,,,,7.91,
1970-01-06,,,,,,,,,,7.93,
1970-01-07,,7.79,,,,,,,,7.9,
1970-01-08,,,,,,,,,,7.91,
1970-01-09,,,,,,,,,,7.89,
1970-01-12,,,,,,,,,,7.8,
1970-01-13,,,,,,,,,,7.82,
1970-01-14,,7.84,,,,,,,,7.87,
1970-01-15,,,,,,,,,,7.84,
1970-01-16,,,,,,,,,,7.8,
1970-01-19,,,,,,,,,,7.79,
1970-01-20,,,,,,,,,,7.82,
1970-01-21,,7.82,,,,,,,,7.83,
1970-01-22,,,,,,,,,,7.87,
1970-01-23,,,,,,,,,,7.86,
1970-01-26,,,,,,,,,,7.88,
1970-01-27,,,,,,,,,,7.91,
1970-01-28,,7.8,,,,,,,,7.91,
1970-01-29,,,,,,,,,,7.91,
1970-01-30,,,,,,,,,5.93,7.86,
1970-01-31,4.79,,10.35,5.75,4.99,,8.5,7.55,,,3
1970-02-02,,,,,,,,,,7.72,
1970-02-03,,,,,,,,,,7.7,
1970-02-04,,7.78,,,,,,,,7.66,
1970-02-05,,,,,,,,,,7.56,
1970-02-06,,,,,,,,,,7.42,
1970-02-09,,,,,,,,,,7.3,
1970-02-10,,,,,,,,,,7.28,
1970-02-11,,7.78,,,,,,,,7.25,
1970-02-13,,,,,,,,,,6.95,
1970-02-16,,,,,,,,,,6.83,
1970-02-17,,,,,,,,,,6.77,
1970-02-18,,7.71,,,,,,,,6.77,
1970-02-19,,,,,,,,,,6.79,
1970-02-20,,,,,,,,,,6.8,
1970-02-24,,,,,,,,,,6.88,
1970-02-25,,7.71,,,,,,,,6.89,
1970-02-26,,,,,,,,,,6.88,
1970-02-27,,,,,,,,,5.93,6.85,
1970-02-28,4.95,,9.86,5.75,6.95,,8.5,7.6,,,3
1970-03-02,,,,,,,,,,6.87,
1970-03-03,,,,,,,,,,6.92,
1970-03-04,,7.62,,,,,,,,6.93,
1970-03-05,,,,,,,,,,6.88,
1970-03-06,,,,,,,,,,6.85,
1970-03-09,,,,,,,,,,6.86,
1970-03-10,,,,,,,,,,6.71,
1970-03-11,,7.52,,,,,,,,6.72,
1970-03-12,,,,,,,,,,6.75,
1970-03-13,,,,,,,,,,6.77,
1970-03-16,,,,,,,,,,6.82,
1970-03-17,,,,,,,,,,6.81,
1970-03-18,,7.46,,,,,,,,6.75,
1970-03-19,,,,,,,,,,6.65,
1970-03-20,,,,,,,,,,6.52,
1970-03-23,,,,,,,,,,6.15,
1970-03-24,,,,,,,,,,6.08,
1970-03-25,,6.97,,,,,,,,6.15,
1970-03-26,,,,,,,,,,6.26,
1970-03-30,,,,,,,,,5.93,6.32,
1970-03-31,4.95,,9.55,7,6.95,,8.5,7.47,,6.38,3
1970-04-01,,7.05,,,,,,,,6.34,
1970-04-02,,,,,,,,,,6.35,
1970-04-03,,,,,,,,,,6.36,
1970-04-06,,,,,,,,,,6.39,
1970-04-07,,,,,,,,,,6.44,
1970-04-08,,6.97,,,,,,,,6.43,
1970-04-09,,,,,,,,,,6.38,
1970-04-10,,,,,,,,,,6.36,
1970-04-13,,,,,,,,,,6.34,
1970-04-14,,,,,,,,,,6.32,
1970-04-15,,6.8,,,,,,,,6.38,
1970-04-16,,,,,,,,,,6.4,
1970-04-17,,,,,,,,,,6.4,
1970-04-20,,,,,,,,,,6.48,
1970-04-21,,,,,,,,,,6.54,
1970-04-22,,6.62,,,,,,,,6.74,
1970-04-23,,,,,,,,,,6.58,
1970-04-24,,,,,,,,,,6.6,
1970-04-27,,,,,,,,,,6.65,
1970-04-28,,,,,,,,,,6.96,
1970-04-29,,6.74,,,,,,,5.93,6.91,
1970-04-30,5.41,,8.95,7,6.95,,8.5,6.97,,6.93,3
1970-05-01,,,,,,,,,,6.84,
1970-05-04,,,,,,,,,,6.91,
1970-05-05,,,,,,,,,,7.09,
1970-05-06,,6.8,,,,,,,,6.91,
1970-05-07,,,,,,,,,,6.64,
1970-05-08,,,,,,,,,,6.56,
1970-05-11,,,,,,,,,,6.74,
1970-05-12,,,,,,,,,,6.92,
1970-05-13,,6.68,,,,,,,,6.82,
1970-05-14,,,,,,,,,,6.76,
1970-05-15,,,,,,,,,,6.76,
1970-05-18,,,,,,,,,,6.68,
1970-05-19,,,,,,,,,,6.72,
1970-05-20,,6.52,,,,,,,,6.67,
1970-05-21,,,,,,,,,,6.71,
1970-05-22,,,,,,,,,,6.86,
1970-05-25,,,,,,,,,,7.01,
1970-05-26,,,,,,,,,,7.08,
1970-05-27,,6.48,,,,,,,,7.04,
1970-05-28,,,,,,,,,,6.95,
1970-05-29,,,,,,,,,,6.93,
1970-05-30,,,,,,,,,5.93,,
1970-05-31,5.41,,9.02,7,6.95,,8.5,6.83,,,3
1970-06-01,,,,,,,,,,6.85,
1970-06-02,,,,,,,,,,6.82,
1970-06-03,,6.2,,,,,,,,6.81,
1970-06-04,,,,,,,,,,6.81,
1970-06-05,,,,,,,,,,6.8,
1970-06-08,,,,,,,,,,6.75,
1970-06-09,,,,,,,,,,6.77,
1970-06-10,,5.86,,,,,,,,6.76,
1970-06-11,,,,,,,,,,6.74,
1970-06-12,,,,,,,,,,6.79,
1970-06-15,,,,,,,,,,6.71,
1970-06-16,,,,,,,,,,6.71,
1970-06-17,,5.87,,,,,,,,6.72,
1970-06-18,,,,,,,,,,6.73,
1970-06-19,,,,,,,,,,6.7,
1970-06-22,,,,,,,,,,6.54,
1970-06-23,,,,,,,,,,6.6,
