Date,FRF,ITL,NZD,NOK,SEK,GBP,AUD,JPY,USD,CAD,DEM
1985-01-01,,,,,,11.07,,6.59,,,7
1985-01-02,,,,,,11.17,13.45,6.59,11.7,11.65,7
1985-01-03,,,,,12.04,11.19,13.5,6.59,11.62,11.65,7.03
1985-01-04,,,,,12.04,11.17,13.5,6.59,11.67,11.65,7.03
1985-01-07,,,,,12.04,11.24,13.55,6.59,11.5,11.65,7.05
1985-01-08,,,,,12.04,11.11,13.55,6.59,11.45,11.65,7.03
1985-01-09,,,,,12.04,11.02,13.55,6.59,11.47,11.37,7.03
1985-01-10,,,,,12.04,11.08,13.6,6.59,11.48,11.37,7.03
1985-01-11,,,,,12.04,11.21,13.55,6.59,11.59,11.37,7.12
1985-01-14,,,,,12.04,11.4,13.55,6.59,11.6,11.37,7.14
1985-01-15,,,,,12.04,11.37,13.45,6.59,11.49,11.37,7.18
1985-01-16,,,,,12.04,11.37,13.35,6.59,11.51,11.48,7.17
1985-01-17,,,,,12.2,11.47,13.35,6.59,11.48,11.48,7.16
1985-01-18,,,,,12.2,11.41,13.15,6.59,11.39,11.48,7.09
1985-01-21,,,,,12.2,11.4,13.1,6.59,11.39,11.48,7.08
1985-01-22,,,,,12.2,11.39,13.25,6.59,11.27,11.48,7.11
1985-01-23,,,,,12.2,11.44,13.2,6.59,11.21,11.36,7.18
1985-01-24,,,,,12.41,11.57,13.1,6.59,11.06,11.36,7.17
1985-01-25,,,,,12.41,11.51,13.1,6.59,11.11,11.36,7.18
1985-01-28,,,,,12.41,11.76,13.1,6.59,11.11,11.36,7.18
1985-01-29,,,,,12.41,11.73,13.15,6.59,11.11,11.36,7.24
1985-01-30,,,,,12.41,11.51,13.15,6.59,11.08,11.17,7.22
1985-01-31,11.33,,,,12.39,11.44,13.1,6.59,11.17,11.17,7.21
1985-02-01,11.63,,,,12.39,11.49,13.1,6.59,11.29,11.17,7.24
1985-02-04,11.35,,,,12.39,11.59,13.1,6.59,11.35,11.17,7.46
1985-02-05,11.44,,,,12.39,11.53,13.1,6.59,11.3,11.17,7.47
1985-02-06,11.49,,,,12.39,11.52,13.1,6.59,11.4,11.47,7.46
1985-02-07,11.52,,,,13.15,11.36,13.15,6.59,11.41,11.47,7.47
1985-02-08,11.57,,,,13.15,11.41,13.2,6.59,11.37,11.47,7.53
1985-02-11,11.57,,,,13.15,11.55,13.2,6.59,11.42,11.47,7.61
1985-02-12,11.56,,,,13.15,11.57,13.25,6.59,11.42,11.47,7.73
1985-02-13,11.66,,,,13.15,11.57,13.3,6.59,11.39,11.65,7.73
1985-02-14,11.63,,,,13.14,11.49,13.25,6.58,11.29,11.65,7.57
1985-02-15,11.63,,,,13.14,11.39,13.2,6.85,11.38,11.65,7.51
