Date,DEM,JPY,USD,FRF,NZD,CAD,AUD,ITL,SEK,GBP,NOK,CHF
01/31/1970,7.7,,8.53,,4.49,,5.68,,,,5.88,
02/28/1970,7.74,,7.45,,4.54,,5.65,,,,6.06,
03/31/1970,8.3,,7.22,,4.64,,5.8,,,,6.1,
04/30/1970,8.1,,8.11,,4.61,,6.5,,,,5.63,
05/31/1970,8.39,,8.23,,4.61,,6.45,,,,5.64,
06/30/1970,8.64,,7.93,,4.6,,6.48,,,,5.71,
07/31/1970,7.92,,7.66,,4.58,,6.45,,,,5.76,
08/31/1970,8.05,,7.46,,4.59,,6.35,,,,5.74,
09/30/1970,8.33,,6.96,,4.63,,6.4,,,,5.75,
10/31/1970,8.19,,6.85,,4.59,,6.43,,,,5.56,
11/30/1970,7.97,,5.5,,4.99,,6.43,,,,5.38,
12/31/1970,7.52,,5.71,,5.04,,6.44,,,,5.42,
01/31/1971,7.22,,4.78,,5.14,,6.45,,,,5.46,
02/28/1971,7.51,,4.24,,5.17,,6.48,,,,5.51,
03/31/1971,7.64,,4.06,,5.17,,6.4,,,,5.56,
04/30/1971,7.36,,5.28,,5.15,,6.35,,,,5.66,
05/31/1971,7.51,,5.69,,5.14,,6.4,,,,5.74,
06/30/1971,8,,6.58,,5.15,,6.3,,,,5.7,
07/31/1971,7.91,,6.59,,5.11,,6.32,,,,5.74,
08/31/1971,7.76,,5.66,,5.14,,6.35,,,,5.8,
09/30/1971,7.68,,5.57,,5.13,,6.13,,,,5.81,
10/31/1971,7.56,,5.03,,5.14,,5.7,,,,5.75,
11/30/1971,7.46,,5.08,,5.12,,5.58,,,,5.16,
12/31/1971,7.18,,4.88,,5.13,,5.18,,,,4.81,
01/31/1972,6.48,,4.87,,5.14,,5.18,,,,5.36,
02/29/1972,6.2,,4.81,,5.11,,5.17,,,,4.93,
03/31/1972,6.3,,5.61,,5.13,,5.15,,,,4.92,
04/30/1972,6.69,,5.16,,5.14,,5.21,,,,4.9,
05/31/1972,6.52,,4.98,,5.11,,5.23,,,,4.92,
06/30/1972,6.93,,5.48,,5.04,,5.05,,,,4.86,
07/31/1972,7.04,,5.31,,4.89,,4.65,,,,4.9,
