Date,GBP,SEK,AUD,DEM,JPY,USD,FRF,NZD,CAD,ITL,NOK,CHF
1985-01-31,11.36,12.39,12.9,7.06,6.423,10.77,10.25,17.68,10.62,13.27,12.52,4.933
1985-02-28,11.48,13.23,13.4,7.49,6.423,11.55,10.54,18,11.66,13.29,12.62,4.806
1985-03-31,11.29,12.95,13.6,7.35,6.79,11.29,10.73,18.5,11.58,13.51,13.04,4.715
1985-04-30,11.08,13.43,13.8,7.1,6.79,10.91,10.42,19.05,10.99,13.57,13.08,4.676
1985-05-31,11.03,13.6,13.6,6.9,6.569,9.68,10.31,19.95,10.45,13.89,13.1,4.706
1985-06-30,11.01,13.46,13.35,6.71,6.569,9.65,10.43,17.45,10.41,13.91,12.98,4.715
1985-07-31,10.55,12.98,13.3,6.42,6.351,9.98,10.39,17.85,10.44,14.12,12.94,4.565
1985-08-31,10.39,13.21,14,6.13,6.351,9.74,10.39,18.3,10.21,14.09,12.92,4.565
1985-09-30,10.31,13.54,13.9,6.1,6.207,9.73,10.16,19.7,10.39,13.76,12.9,4.48
1985-10-31,10.34,13.39,14.75,6.57,6.207,9.47,9.84,19.45,9.95,13.75,12.89,4.401
1985-11-30,10.5,13.1,15.2,6.36,6.207,9.07,9.41,17.9,9.52,13.72,12.87,4.33
1985-12-31,10.84,12.11,15.2,6.2,6.207,8.49,9.25,17.15,9.2,13.67,13.59,4.382
1986-01-31,11.19,12.21,14.3,6.11,6.064,8.53,9.03,19.3,9.8,13.46,13.6,4.216
1986-02-28,10.19,11.56,13.9,5.82,5.851,7.91,8.79,18.9,9.49,13.83,13.58,4.125
1986-03-31,9.01,10.78,12.9,5.55,5.851,7.19,7.87,19.75,8.97,13.37,13.51,4.237
1986-04-30,8.43,9.78,12.4,5.38,5.851,7.17,7.23,17.3,8.56,12.28,13.44,4.421
1986-05-31,8.69,10.03,12.65,5.83,4.893,7.82,7.08,15.8,8.95,10.89,13.48,4.39
1986-06-30,8.98,9.75,12.8,5.77,4.893,7.23,7.38,16.2,8.8,10.85,13.56,4.316
1986-07-31,9.31,9.73,14.35,5.65,5.027,7.02,7.37,16.9,8.88,11.06,13.63,4.094
1986-08-31,9.14,9.59,14.55,5.48,5.027,6.4,7.34,16.3,8.8,10.81,13.61,4.129
1986-09-30,10.94,9.42,14.4,5.71,4.96,6.98,7.41,15.8,9.04,10.43,13.41,4.077
1986-10-31,10.84,9.29,13.85,5.94,4.96,6.76,7.77,15.8,9.01,10.26,13.41,4.073
1986-11-30,11,10.24,13.95,5.81,5.162,6.65,8.16,17.13,8.72,10.334,13.49,4.045
1986-12-31,10.46,10.62,13.85,5.79,5.162,6.81,8.45,17.3,8.63,10.052,13.86,3.903
1987-01-31,10.02,11.65,14.7,5.53,4.96,6.71,8.69,17.4,8.06,9.782,13.73,3.97
1987-02-28,9.5,11.23,14.55,5.4,4.96,6.71,9.04,18.07,8.08,9.836,13.71,3.986
1987-03-31,8.93,10.71,13.85,5,3.45,7.02,8.81,17.5,7.73,10.032,13.64,4.002
1987-04-30,8.65,11.07,13.5,5,3.35,7.82,8.81,17.25,9.18,10.071,13.65,4.005
1987-05-31,8.59,11.76,13.45,5,3.21,8.15,9.23,16.47,9.26,10.202,13.61,3.956
1987-06-30,8.98,11.34,13.1,5.3,3.74,8.02,9.78,16.01,9.04,10.414,13.68,3.95
1987-07-31,9.57,11.8,13,5.6,4.19,8.21,9.47,16.75,9.7,10.898,13.57,4.001
1987-08-31,10.21,11.92,12.8,5.7,4.19,8.52,9.97,16.25,9.91,11.302,13.48,4.262
1987-09-30,10.01,11.77,11.95,5.9,5.26,9.21,10,16.19,10.75,11.3,13.09,4.184
1987-10-31,9.11,11.42,13.4,5.9,4.69,8.37,10.37,16.57,9.62,11.633,13.51,3.75
1987-11-30,8.82,11.55,12.8,5.5,4.21,8.43,10.02,15.51,9.88,11.495,13.59,3.862
1987-12-31,9.14,11.38,12.15,5.5,4,8.33,10.04,15.3,9.78,10.75,13.69,3.848
1988-01-31,9.03,11.31,11.9,5.4,3.97,7.76,9.81,14.98,9.02,10.552,13.67,3.82
1988-02-29,9.04,10.96,11.9,5.1,3.89,7.64,8.4,13.9,8.77,10.57,13.52,3.882
1988-03-31,8.8,11.05,11.5,5.1,3.72,8.04,8.7,13.08,9.14,10.581,13.53,3.658
1988-04-30,8.96,11.4,11.25,5.4,3.58,8.33,8.5,13.31,9.41,10.716,13.51,3.842
1988-05-31,9.02,11.21,12.45,5.5,3.93,8.73,8.2,12.94,9.49,10.847,13.17,3.947
1988-06-30,9.56,11.06,11.95,5.9,4.17,8.41,8,13.32,9.5,10.832,12.92,4.121
1988-07-31,9.67,11.26,12.05,6.3,4.15,8.75,8.1,13.14,9.75,10.971,12.94,4.093
1988-08-31,10.15,11.37,12.3,6.3,4.39,8.95,8.4,13.03,10.23,11.107,13.02,4.017
1988-09-30,9.85,11.39,12.6,6,4.19,8.61,8.1,12.9,9.97,11.244,12.9,3.905
1988-10-31,9.64,11.09,12.7,5.6,3.91,8.37,8.1,13.06,9.61,11.039,12.62,4.05
